# ============================================
# CHIRP SWEEP: f=0.1000->1.0000Hz  A=0.800  off=0.000  T=50s
# Sample rate: 500 Hz  |  Baud: 460800
# t_ms,pwm_pct,alpha_deg
# ============================================
# BASELINE_START
174761.0,0.0,39.41
174763.0,0.0,39.42
174765.0,0.0,39.4
174767.0,0.0,39.43
174769.0,0.0,39.4
174771.0,0.0,39.42
174773.0,0.0,39.41
174775.0,0.0,39.43
174777.0,0.0,39.4
174779.0,0.0,39.41
174781.0,0.0,39.41
174783.0,0.0,39.41
174785.0,0.0,39.41
174787.0,0.0,39.42
174789.0,0.0,39.41
174791.0,0.0,39.43
174793.0,0.0,39.42
174795.0,0.0,39.4
174797.0,0.0,39.42
174799.0,0.0,39.43
174801.0,0.0,39.41
174803.0,0.0,39.42
174805.0,0.0,39.42
174807.0,0.0,39.41
174809.0,0.0,39.41
174811.0,0.0,39.41
174813.0,0.0,39.41
174815.0,0.0,39.42
174817.0,0.0,39.42
174819.0,0.0,39.41
174821.0,0.0,39.43
174823.0,0.0,39.42
174825.0,0.0,39.41
174827.0,0.0,39.42
174829.0,0.0,39.41
174831.0,0.0,39.41
174833.0,0.0,39.43
174835.0,0.0,39.43
174837.0,0.0,39.42
174839.0,0.0,39.42
174841.0,0.0,39.42
174843.0,0.0,39.42
174845.0,0.0,39.43
174847.0,0.0,39.43
174849.0,0.0,39.42
174851.0,0.0,39.43
174853.0,0.0,39.42
174855.0,0.0,39.43
174857.0,0.0,39.43
174859.0,0.0,39.42
174861.0,0.0,39.42
174863.0,0.0,39.44
174865.0,0.0,39.43
174867.0,0.0,39.42
174869.0,0.0,39.43
174871.0,0.0,39.43
174873.0,0.0,39.42
174875.0,0.0,39.42
174877.0,0.0,39.43
174879.0,0.0,39.43
174881.0,0.0,39.42
174883.0,0.0,39.43
174885.0,0.0,39.42
174887.0,0.0,39.43
174889.0,0.0,39.43
174891.0,0.0,39.42
174893.0,0.0,39.43
174895.0,0.0,39.43
174897.0,0.0,39.43
174899.0,0.0,39.44
174901.0,0.0,39.43
174903.0,0.0,39.43
174905.0,0.0,39.44
174907.0,0.0,39.44
174909.0,0.0,39.44
174911.0,0.0,39.44
174913.0,0.0,39.43
174915.0,0.0,39.43
174917.0,0.0,39.44
174919.0,0.0,39.44
174921.0,0.0,39.43
174923.0,0.0,39.44
174925.0,0.0,39.44
174927.0,0.0,39.43
174929.0,0.0,39.43
174931.0,0.0,39.43
174933.0,0.0,39.42
174935.0,0.0,39.43
174937.0,0.0,39.44
174939.0,0.0,39.44
174941.0,0.0,39.44
174943.0,0.0,39.42
174945.0,0.0,39.43
174947.0,0.0,39.43
174949.0,0.0,39.44
174951.0,0.0,39.43
174953.0,0.0,39.44
174955.0,0.0,39.44
174957.0,0.0,39.44
174959.0,0.0,39.44
174961.0,0.0,39.43
174963.0,0.0,39.43
174965.0,0.0,39.43
174967.0,0.0,39.44
174969.0,0.0,39.43
174971.0,0.0,39.44
174973.0,0.0,39.44
174975.0,0.0,39.43
174977.0,0.0,39.44
174979.0,0.0,39.44
174981.0,0.0,39.44
174983.0,0.0,39.44
174985.0,0.0,39.44
174987.0,0.0,39.43
174989.0,0.0,39.45
174991.0,0.0,39.43
174993.0,0.0,39.43
174995.0,0.0,39.44
174997.0,0.0,39.44
174999.0,0.0,39.44
175001.0,0.0,39.44
175003.0,0.0,39.45
175005.0,0.0,39.45
175007.0,0.0,39.44
175009.0,0.0,39.43
175011.0,0.0,39.44
175013.0,0.0,39.44
175015.0,0.0,39.44
175017.0,0.0,39.45
175019.0,0.0,39.45
175021.0,0.0,39.45
175023.0,0.0,39.44
175025.0,0.0,39.45
175027.0,0.0,39.44
175029.0,0.0,39.43
175031.0,0.0,39.44
175033.0,0.0,39.44
175035.0,0.0,39.44
175037.0,0.0,39.45
175039.0,0.0,39.44
